FID IID CEU YRI NAM
M012 NA19663 0.28444458704999 0.0316370403644998 0.68391837258551
M012 NA19664 0.549091959186293 0.0719694538920619 0.378938586921645
M012 NA19665 0.30318295578515 0.059038696014888 0.637778348199961
M016 NA19722 0.603574408008727 0.0362895463004556 0.360136045690817
M016 NA19723 0.363569274209074 0.164281588910993 0.472149136879933
M001 NA19649 0.707983058461144 0.0743759224796252 0.217641019059231
M002 NA19669 0.418180068022845 0 0.581819931977155
M006 NA19656 0.244785984726946 0.0569851761535006 0.698228839119553
M007 NA19657 0.398254508117821 0.00279150356157351 0.598953988320606
M007 NA19658 0.645511133927998 0 0.354488866072002
M011 NA19686 0.63492267214272 0.0713277289353783 0.293749598921902
M015 NA19719 0.526824103189373 0.0771674260411987 0.396008470769428
M015 NA19720 0.353622537380479 0.107617275235834 0.538760187383687
M016 NA19724 0.481389976256177 0.0918950137970866 0.426715009946737
M017 NA19726 0.422993005197972 0 0.577006994802028
M023 NA19747 0.317750112301867 0.0571776936405057 0.625072194057627
M027 NA19759 0.20403644997754 0.00651350831033819 0.789450041712122
M033 NA19773 0.576429442341013 0 0.423570557658987
M035 NA19780 0.624205865366104 0.0105242892896105 0.365269845344285
M004 NA19675 0.767503048193544 0.0749213886928063 0.157575563113649
M004 NA19676 0.681993197715459 0.00744400949752936 0.310562792787011
M004 NA19677 0.672848617082718 0.04607585188988 0.281075531027402
M005 NA19651 0.722710646217031 0.0354873901046012 0.241801963678367
M005 NA19653 0.602387216838863 0.0162998138997626 0.381312969261375
M010 NA19683 0.405024706410832 0.0234229609189501 0.571552332670218
M011 NA19684 0.791022267855997 0.00895206314573574 0.200025668998267
M017 NA19725 0.676827311814156 0.0180645575306424 0.305108130655201
M017 NA19727 0.622312776743888 0 0.377687223256112
M026 NA19755 0.250272733106591 0.02987229673362 0.719854970159789
M026 NA19756 0.427677597381762 0.0284605018289161 0.543861900789322
M026 NA19757 0.202400051337997 0.00924083937624334 0.78835910928576
M031 NA19772 0.805878200603221 0 0.194121799396779
M033 NA19774 0.450555092087531 0.0394660848360393 0.509978823076429
M033 NA19775 0.580279792081114 0.00301610729641276 0.416704100622473
M034 NA19776 0.521497786048899 0.0102996855547712 0.468202528396329
M034 NA19777 0.620130911891163 0.110055830071231 0.269813258037605
M034 NA19778 0.589648976448694 0.0523005839697106 0.358050439581595
M036 NA19783 0.212314701918758 0.109831226336392 0.67785407174485
M036 NA19784 0.369152281332221 0.0895848039530257 0.541262914714753
M039 NA19796 0.692004107039723 0.0220753385099147 0.285920554450363
M001 NA19650 0.859398061990631 0.0112301867419624 0.129371751267407
M002 NA19671 0.404864275171661 0 0.595135724828339
M008 NA19661 0.64897644869409 0.088365526535327 0.262658024770583
M010 NA19682 0.374318167233524 0.0182891612654816 0.607392671500995
M031 NA19771 0.660399152923057 0.00154013989604056 0.338060707180902
M032 NA19785 0.176634794327151 0.0271449656677148 0.796220240005134
M035 NA19779 0.764711544631971 0.00407495347494064 0.231213501893089
M035 NA19781 0.782391067188603 0.0056150933709812 0.211993839440416
M036 NA19782 0.69543733555798 0.00718731951485593 0.297375344927164
M037 NA19788 0.650099467368286 0.00875954565873067 0.341140986972983
M007 NA19659 0.60367066675223 0 0.39632933324777
M008 NA19660 0.795674773791953 0.0681511903997946 0.136174035808253
M008 NA19662 0.611210934993262 0.053102740165565 0.335686324841173
M009 NA19678 0.827761021626131 0.110248347558237 0.0619906308156324
M009 NA19680 0.779086183661683 0.0720336263877302 0.148880189950587
M010 NA19681 0.367323365205673 0.0056150933709812 0.627061541423346
M023 NA19746 0.525059359558493 0.010267599306937 0.46467304113457
M015 NA19721 0.400853494192389 0.0332092665083745 0.565937239299236
M023 NA19748 0.511743566707309 0.0132837066033498 0.474972726689341
M027 NA19760 0.375922479625233 0 0.624077520374767
M014 NA19718 0.16380029519348 0.0108451517679523 0.825354553038568
M032 NA19787 0.22178014502984 0.0460116793942116 0.732208175575948
M037 NA19790 0.68430340755952 0.0571135211448373 0.258583071295643
M039 NA19794 0.764839889623307 0.0147275877558878 0.220432522620805
M039 NA19795 0.286851055637554 0.112077263684785 0.601071680677662
M006 NA19654 0.302188282102291 0.0602258871847526 0.637585830712956
M024 NA19749 0.81178207020471 0.0471346980684079 0.141083231726882
M024 NA19751 0.861355323108516 0 0.138644676891484
M028 NA19761 0.337483154719887 0.219213245203106 0.443303600077007
M028 NA19762 0.160720015401399 0.0650709106077135 0.774209073990887
M028 NA19763 0.340146313290124 0.0612526471154463 0.59860103959443
M031 NA19770 0.711576718218571 0.00388243598793557 0.284540845793493
M002 NA19670 0.555797984983636 0 0.444202015016364
M014 NA19716 0.422190849002118 0.00776487197587114 0.570044279022011
M024 NA19750 0.852563691201951 0 0.147436308798049
M037 NA19789 0.613007764871976 0.0794134633895912 0.307578771738433
M011 NA19685 0.633863825964192 0.139543091830841 0.226593082204967
M009 NA19679 0.748893024449721 0.0285246743245845 0.222582301225695
M005 NA19652 0.537059616248476 0.0411666559712507 0.421773727780273
M032 NA19786 0.476512866585382 0.00831033818905217 0.515176795225566
2382 NA19672 0.632259513572483 0.0838413655907078 0.283899120836809
2394 NA19737 0.788262850542258 0.00606430084065969 0.205672848617083
2395 NA19740 0.340531348264134 0.00657768080600655 0.652890970929859
2395 NA19741 0.236251042803055 0.107585188988 0.656163768208946
2414 NA19792 0.61733940832959 0.0808573445421292 0.301803247128281
2405 NA19764 0.582654174420843 0.0448886607200154 0.372457164859141
